strategy,landscape,wind,delay,burn_pct,baseline_pct
cell4_highonly,dogrib,ws10,3,0.0,47.8
cell4_highonly,dogrib,ws25,3,0.2,41.6
cell4_highonly,dogrib,ws43,3,0.1,36.4
cell4_highonly,dogrib,ws10,4,0.2,47.8
cell4_highonly,dogrib,ws25,4,38.3,41.6
cell4_highonly,dogrib,ws43,4,0.1,36.4
cell4_highonly,dogrib,ws10,5,44.9,47.8
cell4_highonly,dogrib,ws25,5,37.1,41.6
cell4_highonly,dogrib,ws43,5,34.0,36.4
cell4_highonly,dogrib,ws10,6,44.9,47.8
cell4_highonly,dogrib,ws25,6,39.5,41.6
cell4_highonly,dogrib,ws43,6,34.2,36.4
cell4_highonly,dogrib,ws10,9,45.3,47.8
cell4_highonly,dogrib,ws25,9,39.9,41.6
cell4_highonly,dogrib,ws43,9,34.9,36.4
