Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
JCB,2001-10-16 17:00,0.0,13.9,25,43,270,92.9,64,535,54.6,99,90.0
