landscape,wind,strategy,min_dist,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
dogrib,ws10,none,0,38045,47.7886,0,0.0,22798,200,0
dogrib,ws10,random,0,37802,47.4834,471,0.591627,22594,200,0
dogrib,ws10,open_anchor,0,13532,16.9977,471,0.591627,8488,200,0
dogrib,ws10,proximity,0,21582,27.1093,471,0.591627,14020,200,0
dogrib,ws10,fuel_flank,0,22553,28.329,471,0.591627,14635,200,0
dogrib,ws10,cell4_highonly,0,16,0.0200977,471,0.591627,15,200,0
dogrib,ws10,fuel_elevation,0,28220,35.4474,471,0.591627,17427,200,0
dogrib,ws10,neighbour_fuel,0,33107,41.586,471,0.591627,20428,200,0
dogrib,ws10,shielded_ratio,0,33020,41.4767,471,0.591627,20433,200,0
dogrib,ws25,none,0,33105,41.5834,0,0.0,18499,200,0
dogrib,ws25,random,0,32889,41.3121,471,0.591627,18303,200,0
dogrib,ws10,cell1_baseline,0,35365,44.4223,471,0.591627,21692,200,0
dogrib,ws10,cell2_ground,0,35062,44.0417,471,0.591627,21434,200,0
dogrib,ws25,proximity,0,10628,13.3499,471,0.591627,6633,200,0
dogrib,ws10,cell3_lowonly,0,37759,47.4294,471,0.591627,22524,200,0
dogrib,ws25,neighbour_fuel,0,22054,27.7022,471,0.591627,13732,200,0
dogrib,ws25,shielded_ratio,0,22121,27.7864,471,0.591627,13797,200,0
dogrib,ws25,open_anchor,0,9233,11.5976,471,0.591627,5878,200,0
dogrib,ws25,fuel_elevation,0,25063,31.4818,471,0.591627,14743,200,0
dogrib,ws25,cell4_highonly,0,170,0.213538,471,0.591627,118,200,0
dogrib,ws10,cell5_hilly,0,37792,47.4708,471,0.591627,22583,200,0
dogrib,ws10,cell6_barriers,0,37759,47.4294,471,0.591627,22524,200,0
dogrib,ws10,cell2_ground,2,35359,44.4147,471,0.591627,21342,200,0
dogrib,ws43,none,0,29008,36.4372,0,0.0,15781,200,0
dogrib,ws43,random,0,28762,36.1282,471,0.591627,15589,200,0
dogrib,ws25,fuel_flank,0,12577,15.7981,471,0.591627,8106,200,0
dogrib,ws25,cell1_baseline,0,14609,18.3505,471,0.591627,8561,200,0
dogrib,ws43,proximity,0,11996,15.0683,471,0.591627,7778,200,0
dogrib,ws25,cell2_ground,0,29849,37.4936,471,0.591627,17080,200,0
dogrib,ws43,fuel_elevation,0,23406,29.4005,471,0.591627,14053,200,0
dogrib,ws43,neighbour_fuel,0,22345,28.0677,471,0.591627,13181,200,0
dogrib,ws25,cell3_lowonly,0,32885,41.3071,471,0.591627,18309,200,0
dogrib,ws25,cell2_ground,2,29446,36.9874,471,0.591627,17045,200,0
dogrib,ws25,cell5_hilly,0,32912,41.341,471,0.591627,18308,200,0
dogrib,ws43,cell4_highonly,0,103,0.129379,471,0.591627,72,200,0
dogrib,ws25,cell6_barriers,0,32885,41.3071,471,0.591627,18309,200,0
dogrib,ws43,shielded_ratio,0,22305,28.0175,471,0.591627,13270,200,0
dogrib,ws43,open_anchor,0,16045,20.1542,471,0.591627,10400,200,0
Arrowhead,ws10,none,0,8509,3.20446,0,0.0,2950,200,0
Arrowhead,ws10,random,0,8509,3.20446,471,0.177377,2950,200,0
dogrib,ws43,fuel_flank,0,19441,24.42,471,0.591627,12388,200,0
Arrowhead,ws10,proximity,0,145,0.0546065,471,0.177377,102,200,0
Arrowhead,ws10,fuel_elevation,0,130,0.0489576,471,0.177377,90,200,0
Arrowhead,ws10,neighbour_fuel,0,139,0.052347,471,0.177377,100,200,0
dogrib,ws43,cell2_ground,0,21059,26.4524,471,0.591627,12655,200,0
Arrowhead,ws10,shielded_ratio,0,162,0.0610087,471,0.177377,112,200,0
dogrib,ws43,cell1_baseline,0,25306,31.7871,471,0.591627,14712,200,0
Arrowhead,ws10,open_anchor,0,144,0.0542299,471,0.177377,99,200,0
Arrowhead,ws10,fuel_flank,0,145,0.0546065,471,0.177377,102,200,0
Arrowhead,ws10,cell1_baseline,0,131,0.0493342,471,0.177377,95,200,0
dogrib,ws43,cell2_ground,2,17386,21.8387,471,0.591627,10778,200,0
Arrowhead,ws10,cell2_ground,0,139,0.052347,471,0.177377,100,200,0
dogrib,ws43,cell3_lowonly,0,28817,36.1973,471,0.591627,15591,200,0
Arrowhead,ws25,none,0,12848,4.83852,0,0.0,5497,200,0
Arrowhead,ws25,random,0,12848,4.83852,471,0.177377,5497,200,0
Arrowhead,ws10,cell4_highonly,0,367,0.138211,471,0.177377,211,200,0
Arrowhead,ws10,cell2_ground,2,224,0.0843577,471,0.177377,92,200,0
