landscape,wind,strategy,min_dist,seed,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
dogrib,ws10,none,0,12,37316,46.8729,0,0.0,22296,200,0
dogrib,ws10,none,0,4,38196,47.9783,0,0.0,22880,200,0
dogrib,ws10,none,0,11,37248,46.7875,0,0.0,22310,200,0
dogrib,ws10,none,0,10,39477,49.5874,0,0.0,23570,200,0
dogrib,ws10,none,0,1,37494,47.0965,0,0.0,22445,200,0
dogrib,ws10,none,0,2,37248,46.7875,0,0.0,22310,200,0
dogrib,ws10,none,0,3,37660,47.305,0,0.0,22579,200,0
dogrib,ws10,none,0,8,37556,47.1744,0,0.0,22547,200,0
dogrib,ws10,none,0,5,38103,47.8615,0,0.0,22854,200,0
dogrib,ws10,none,0,6,38094,47.8502,0,0.0,22871,200,0
dogrib,ws10,none,0,7,38646,48.5435,0,0.0,23188,200,0
dogrib,ws10,none,0,9,38719,48.6352,0,0.0,23192,200,0
dogrib,ws10,none,0,14,37541,47.1555,0,0.0,22532,200,0
dogrib,ws10,none,0,16,37939,47.6555,0,0.0,22736,200,0
dogrib,ws10,none,0,13,39226,49.2721,0,0.0,23472,200,0
dogrib,ws10,none,0,15,37190,46.7146,0,0.0,22370,200,0
dogrib,ws10,none,0,21,39350,49.4278,0,0.0,23541,200,0
dogrib,ws10,none,0,17,37803,47.4846,0,0.0,22627,200,0
dogrib,ws10,none,0,19,39477,49.5874,0,0.0,23570,200,0
dogrib,ws10,none,0,18,38045,47.7886,0,0.0,22798,200,0
dogrib,ws10,none,0,22,37289,46.839,0,0.0,22365,200,0
dogrib,ws10,none,0,23,37190,46.7146,0,0.0,22370,200,0
dogrib,ws10,none,0,24,37762,47.4331,0,0.0,22657,200,0
dogrib,ws10,none,0,20,39460,49.566,0,0.0,23590,200,0
dogrib,ws10,none,0,25,37556,47.1744,0,0.0,22547,200,0
dogrib,ws10,none,0,26,37979,47.7057,0,0.0,22801,200,0
dogrib,ws10,none,0,27,37803,47.4846,0,0.0,22627,200,0
dogrib,ws10,none,0,29,38879,48.8362,0,0.0,23263,200,0
dogrib,ws10,none,0,28,38719,48.6352,0,0.0,23192,200,0
dogrib,ws10,random,0,2,35367,44.4248,471,0.591627,21133,200,0
dogrib,ws10,none,0,30,37541,47.1555,0,0.0,22532,200,0
dogrib,ws10,random,0,6,37914,47.6241,471,0.591627,22678,200,0
dogrib,ws10,random,0,3,33710,42.3434,471,0.591627,20336,200,0
dogrib,ws10,random,0,1,37253,46.7938,471,0.591627,22265,200,0
dogrib,ws10,random,0,9,36684,46.0791,471,0.591627,21992,200,0
dogrib,ws10,random,0,4,38022,47.7597,471,0.591627,22692,200,0
dogrib,ws10,random,0,5,36280,45.5716,471,0.591627,21797,200,0
dogrib,ws10,random,0,7,38392,48.2245,471,0.591627,22992,200,0
dogrib,ws10,random,0,8,37365,46.9345,471,0.591627,22362,200,0
dogrib,ws10,random,0,12,35489,44.578,471,0.591627,21168,200,0
dogrib,ws10,random,0,10,37517,47.1254,471,0.591627,22463,200,0
dogrib,ws10,random,0,11,36967,46.4345,471,0.591627,22081,200,0
dogrib,ws10,random,0,14,37310,46.8654,471,0.591627,22289,200,0
dogrib,ws10,random,0,17,37587,47.2133,471,0.591627,22439,200,0
dogrib,ws10,random,0,15,36582,45.9509,471,0.591627,21792,200,0
dogrib,ws10,random,0,16,33911,42.5959,471,0.591627,20469,200,0
dogrib,ws10,random,0,13,38614,48.5033,471,0.591627,23026,200,0
dogrib,ws10,random,0,18,36138,45.3932,471,0.591627,21648,200,0
dogrib,ws10,random,0,20,38949,48.9241,471,0.591627,23194,200,0
dogrib,ws10,random,0,19,39229,49.2759,471,0.591627,23441,200,0
