quadrant,ignition_cell,wind_speed,wind_dir,strategy,min_dist,seed,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
centre,39795,ws10,0,random,2,2,27583,34.6472,471,0.591627,15421,200,0
centre,39795,ws10,0,none,0,2,28537,35.8455,0,0.0,16098,200,0
centre,39795,ws10,0,random,2,4,28410,35.686,471,0.591627,15905,200,0
centre,39795,ws10,0,random,0,2,27516,34.5631,471,0.591627,15423,200,0
centre,39795,ws10,0,random,0,1,29068,36.5125,471,0.591627,16386,200,0
centre,39795,ws10,0,none,0,4,28622,35.9523,0,0.0,16035,200,0
centre,39795,ws10,0,none,0,5,29998,37.6807,0,0.0,16917,200,0
centre,39795,ws10,0,random,0,4,28459,35.7476,471,0.591627,15971,200,0
centre,39795,ws10,0,none,0,3,28599,35.9234,0,0.0,16097,200,0
centre,39795,ws10,0,random,2,3,27678,34.7666,471,0.591627,15322,200,0
centre,39795,ws10,0,random,0,3,27775,34.8884,471,0.591627,15403,200,0
centre,39795,ws10,0,none,0,1,29300,36.804,0,0.0,16586,200,0
centre,39795,ws10,0,random,2,1,29084,36.5326,471,0.591627,16405,200,0
centre,39795,ws10,0,random,0,5,29023,36.456,471,0.591627,16266,200,0
centre,39795,ws10,0,random,2,5,28928,36.3367,471,0.591627,16218,200,0
centre,39795,ws10,0,proximity,0,1,37,0.046476,471,0.591627,30,200,0
centre,39795,ws10,0,open_anchor,0,2,32,0.0401955,471,0.591627,26,200,0
centre,39795,ws10,0,proximity,0,3,33,0.0414516,471,0.591627,28,200,0
centre,39795,ws10,0,proximity,2,5,137,0.172087,471,0.591627,56,200,0
centre,39795,ws10,0,proximity,0,2,28,0.035171,471,0.591627,25,200,0
centre,39795,ws10,0,proximity,2,4,145,0.182136,471,0.591627,63,200,0
centre,39795,ws10,0,open_anchor,0,3,24,0.0301466,471,0.591627,19,200,0
centre,39795,ws10,0,open_anchor,0,4,24,0.0301466,471,0.591627,20,200,0
centre,39795,ws10,0,proximity,0,5,192,0.241173,471,0.591627,148,200,0
centre,39795,ws10,0,open_anchor,2,2,71,0.0891837,471,0.591627,34,200,0
centre,39795,ws10,0,open_anchor,2,3,103,0.129379,471,0.591627,45,200,0
centre,39795,ws10,0,open_anchor,0,5,49,0.0615493,471,0.591627,38,200,0
centre,39795,ws10,0,cell1_baseline,0,2,16,0.0200977,471,0.591627,16,200,0
centre,39795,ws10,0,cell1_baseline,0,1,72,0.0904398,471,0.591627,59,200,0
centre,39795,ws10,0,cell1_baseline,0,3,28,0.035171,471,0.591627,23,200,0
centre,39795,ws10,0,cell1_baseline,0,4,39,0.0489882,471,0.591627,33,200,0
